Edge TPU Compiler version 16.0.384591198
Input: yolov5n-int8.tflite
Output: ./yolov5n-int8_edgetpu.tflite

Operator                       Count      Status

MAX_POOL_2D                    3          Mapped to Edge TPU
ADD                            10         Mapped to Edge TPU
CONCATENATION                  17         Mapped to Edge TPU
PAD                            7          Mapped to Edge TPU
RESHAPE                        6          Mapped to Edge TPU
RESIZE_NEAREST_NEIGHBOR        2          Mapped to Edge TPU
LOGISTIC                       66         Mapped to Edge TPU
CONV_2D                        60         Mapped to Edge TPU
QUANTIZE                       7          Mapped to Edge TPU
MUL                            75         Mapped to Edge TPU
STRIDED_SLICE                  9          Mapped to Edge TPU
